rang,count
9166.666666666666,651
9583.333333333334,152
10000.0,439
10833.333333333334,240
11250.0,75
11666.666666666666,742
12083.333333333334,270
12500.0,143
14166.666666666666,111
15000.0,54
15833.333333333334,6
10000.0,32
10416.666666666666,16
10833.333333333334,22
12083.333333333334,21
12500.0,18
12916.666666666666,52
13333.333333333334,100
13750.0,21
16250.0,100
10833.333333333334,100
11666.666666666666,6
12500.0,1748
12916.666666666666,325
13333.333333333334,21
14166.666666666666,303
14583.333333333334,100
15000.0,1299
20000.0,304
12083.333333333334,17
12916.666666666666,16
13333.333333333334,52
13750.0,361
14166.666666666666,72
14583.333333333334,100
16250.0,333
19166.666666666668,73
13333.333333333334,54
13750.0,300
14166.666666666666,33
14583.333333333334,52
15000.0,702
15833.333333333334,192
16250.0,22
17500.0,387
17916.666666666668,254
18333.333333333332,161
15833.333333333334,216
16250.0,154
16666.666666666668,64
17500.0,54
19166.666666666668,338
19583.333333333332,100
26666.666666666668,100
15000.0,18
18750.0,144
16666.666666666668,16
17500.0,1224
17916.666666666668,22
18333.333333333332,113
20000.0,1461
22500.0,873
20000.0,52
19166.666666666668,240
20000.0,100
20833.333333333332,43
22083.333333333332,254
24583.333333333332,297
22916.666666666668,100
23333.333333333332,158
26250.0,60
19166.666666666668,100
20000.0,59
21666.666666666668,21
22083.333333333332,100
24166.666666666668,100
25833.333333333332,52
26666.666666666668,100
20416.666666666668,16
21666.666666666668,43
22083.333333333332,43
23333.333333333332,48
25833.333333333332,22
22083.333333333332,100
22500.0,221
25000.0,572
26666.666666666668,300
30000.0,405
35000.0,17
27083.333333333332,200
32500.0,200
26250.0,16
27916.666666666668,52
27500.0,100
32500.0,100
37500.0,200
30000.0,54
32916.666666666664,100
32500.0,100
40000.0,22
47083.333333333336,143
36666.666666666664,100
40833.333333333336,100
5000.0,18
46666.666666666664,100
52500.0,86
6250.0,76
5416.666666666667,44
5833.333333333333,16
50416.666666666664,100
6666.666666666667,43
7083.333333333333,95
7500.0,95
8333.333333333334,22
10000.0,112
5416.666666666667,43
5833.333333333333,43
65000.0,100
7083.333333333333,260
7500.0,191
7916.666666666667,414
8333.333333333334,21
8750.0,176
9583.333333333334,52
12083.333333333334,100
7500.0,138
7916.666666666667,16
8333.333333333334,164
9166.666666666666,165
10000.0,52
10416.666666666666,138
10833.333333333334,243
8750.0,100
9166.666666666666,32
10416.666666666666,100
