location,count
上海-嘉定区,193
上海-宝山区,19
上海-徐汇区,2780
上海-普陀区,719
上海-杨浦区,722
上海-松江区,215
上海-浦东新区,5780
上海-虹口区,1071
上海-长宁区,1307
上海-闵行区,1280
上海-闸北区,200
上海-静安区,718
上海-黄浦区,1297
上虞,2
义乌,2
北京,34716
北京-东城区,1448
北京-丰台区,273
北京-大兴区,571
北京-房山区,296
北京-昌平区,545
北京-朝阳区,5252
北京-海淀区,4196
北京-石景山,100
北京-西城区,256
北京-通州区,4
北京-顺义区,189
南京,3805
南京-建邺区,229
南京-栖霞区,172
南京-江宁区,727
南京-浦口区,142
南京-玄武区,279
南京-秦淮区,175
南京-雨花台,1049
南京-高淳县,6
南京-鼓楼区,227
台州,4
大连,858
大连-中山区,92
大连-开发区,17
大连-新区,8
大连-沙河口,144
大连-甘井子,108
大连-西岗区,7
天津,1207
天津-东丽区,137
天津-北辰区,8
天津-南开区,188
天津-和平区,181
天津-塘沽区,26
天津-宁河县,1
天津-开发区,56
天津-武清区,19
天津-河东区,33
天津-河西区,104
天津-津南区,8
天津-滨海区,132
天津-红桥区,86
天津-西青区,113
宁波,4
宁波-北仑区,2
常州,4
常熟,4
广州,10762
广州-从化区,2
广州-增城区,156
广州-天河区,4147
广州-海珠区,702
广州-番禺区,489
广州-白云区,135
广州-荔湾区,230
广州-萝岗区,270
广州-越秀区,898
广州-黄埔区,189
慈溪,2
成都,4818
成都-双流县,96
成都-成华区,192
成都-新津县,6
成都-新都区,9
成都-武侯区,449
成都-温江区,13
成都-金牛区,19
成都-锦江区,127
成都-青羊区,98
成都-高新区,1512
成都-高新西,120
成都-龙泉驿,40
无锡-新区,2
无锡-滨湖区,2
昆山,6
杭州,13160
杭州-上城区,97
杭州-下城区,494
杭州-余杭区,1291
杭州-拱墅区,388
杭州-江干区,679
杭州-滨江区,1747
杭州-萧山区,202
杭州-西湖区,2803
武汉,3160
武汉-东西湖,74
武汉-开发区,248
武汉-武昌区,169
武汉-汉阳区,47
武汉-江夏区,600
武汉-江岸区,31
武汉-江汉区,151
武汉-洪山区,1589
武汉-硚口区,46
武汉-蔡甸区,2
武汉-青山区,13
江苏省,2
沈阳,27
沈阳-沈北区,2
沈阳-沈河区,4
沈阳-浑南区,4
沈阳-铁西区,1
淮安,4
深圳,20492
深圳-南山区,7688
深圳-宝安区,369
深圳-福田区,1175
深圳-罗湖区,407
深圳-龙华新区,333
深圳-龙岗区,725
温州-龙湾区,2
湖北省,3
绍兴,2
苏州,2711
苏州-吴中区,51
苏州-吴江市,26
苏州-工业园,1012
苏州-张家港,11
苏州-昆山市,40
苏州-沧浪区,3
苏州-相城区,59
苏州-金阊区,8
苏州-高新区,55
荆州,1
重庆,1648
重庆-九龙坡,110
重庆-北碚区,4
重庆-南岸区,110
重庆-合川区,23
重庆-大渡口,49
重庆-巴南区,14
重庆-江北区,24
重庆-沙坪坝,117
重庆-渝中区,215
重庆-渝北区,573
重庆-铜梁区,5
