rang,count
1250.0,1
1500.0,97
10000.0,4
10500.0,1
10900.0,3
11000.0,89
11250.0,2
11500.0,43
11666.5,1
12000.0,35
12500.0,674
13000.0,91
13333.0,1
13500.0,27
14000.0,276
14500.0,7
14999.5,3
15000.0,1502
125000.5,69
12500.5,4535
15000.5,4
13000.0,270
15750.0,2
12000.0,5
12500.0,4
13000.0,11
13500.0,12
14000.0,2
14500.0,11
15000.0,1
15500.0,10
16000.0,1
16500.0,6
13125.0,1
1350.0,2
13000.0,6
13500.0,98
14000.0,54
14250.0,1
14500.0,30
14750.0,1
15000.0,209
15500.0,1
16000.0,251
17000.0,19
17500.0,3
18000.0,133
18000.5,1
14750.0,1
16250.0,5
16750.0,1
18750.0,10
13500.0,1
14000.0,14
14500.0,16
15000.0,17
15500.0,42
16000.0,2
16500.0,44
17000.0,1
17500.0,4
18000.0,5
19000.0,57
19500.0,8
14500.0,1
15000.0,2
15500.0,7
16000.0,12
16500.0,2
17000.0,25
18000.0,10
18500.0,2
19000.0,4
19500.0,10
20000.0,2
21000.0,7
15750.0,1
1500.0,1
1750.0,4
2000.0,3
2250.0,24
15000.0,1
15500.0,2
16000.0,2
16500.0,36
17000.0,1
17500.0,210
18500.0,24
19000.0,12
19500.0,6
19999.5,1
20000.0,732
20500.0,2
21000.0,1
21500.0,10
22000.0,3
22500.0,509
17500.5,1770
20000.5,2
18000.0,117
18250.0,68
16500.0,1
17000.0,2
18000.0,11
18500.0,68
19000.0,9
20500.0,24
21000.0,1
21500.0,1
23000.0,3
24000.0,4
20750.0,2
18500.0,2
19000.0,1
19500.0,1
20000.0,1
20500.0,1
21000.0,5
22000.0,1
22500.0,1
23500.0,2
24500.0,1
25500.0,1
1900.0,1
2150.0,1
19000.0,7
19500.0,1
20000.0,11
20500.0,9
21000.0,5
21500.0,87
22000.0,3
22500.0,1
23000.0,12
24000.0,39
24500.0,1
25500.0,1
26500.0,31
27000.0,2
23500.0,2
28500.0,1
27499.0,1
2000.0,2
2100.0,1
2500.0,19
2750.0,3
3000.0,40
21500.0,6
22500.0,57
23000.0,2
24000.0,3
25000.0,114
26500.0,3
27500.0,51
28000.0,1
29000.0,2
30000.0,151
25000.5,658
30000.5,1
3000.5,1479
3150.0,1
28000.0,1
25000.0,1
26000.0,1
28500.0,1
28000.0,1
3450.0,1
32000.0,1
36000.0,3
2750.0,3
3000.0,9
3250.0,13
3500.0,19
3750.0,39
27500.0,20
29166.5,1
30000.0,55
32500.0,29
33000.0,1
35000.0,6
37500.0,48
29500.0,2
3700.0,1
3000.0,1
3150.0,3
3400.0,22
3650.0,12
3800.0,2
3900.0,4
4150.0,2
33000.0,2
3000.0,1
3250.0,14
3500.0,89
3600.0,1
3749.5,2
3750.0,64
3900.0,3
3999.5,10
4000.0,889
4100.0,2
4200.0,1
4250.0,14
4450.0,1
4499.5,1
4500.0,386
32500.0,3
35000.0,10
37500.0,8
40000.0,12
45000.0,15
40000.5,134
3750.5,1
4000.5,3
4500.5,1
4050.0,1
3850.0,1
4099.5,5
4100.0,2
4200.0,1
4350.0,2
4600.0,1
4900.0,1
3750.0,15
3850.0,1
4000.0,33
4150.0,2
4249.5,8
4250.0,125
4500.0,65
4750.0,90
5000.0,16
5050.0,1
5250.0,85
37500.0,2
40000.0,1
42500.0,3
47500.0,2
50000.0,1
4100.0,1
4700.0,2
4800.0,1
4150.0,1
4400.0,1
4650.0,3
4900.0,3
5400.0,2
5650.0,1
5700.0,1
4450.0,1
4500.0,1
9500.0,2
12000.0,1
4000.5,1
4250.0,4
4500.0,61
4750.0,9
5000.0,360
5250.0,12
5500.0,209
5750.0,11
5999.5,2
6000.0,1035
45000.0,1
50000.0,3
55000.0,1
60000.0,2
4500.5,1
4750.5,2
5000.0,1
5000.5,7073
6000.5,1
5550.0,1
6050.0,1
4850.0,1
5099.5,1
5350.0,2
6250.0,1
5450.0,1
6600.0,2
49500.0,1
4750.0,1
5000.0,11
5250.0,52
5500.0,27
5750.0,17
6000.0,11
6249.5,1
6250.0,60
6500.0,3
6550.0,1
6650.0,1
6750.0,50
52500.0,1
5100.0,1
6350.0,2
5400.0,1
5900.0,2
6400.0,2
6650.0,1
7200.0,1
7500.0,999
5250.0,1
5500.0,61
5750.0,12
5829.0,2
6000.0,288
6025.0,1
6250.0,2
6499.5,2
6500.0,822
6750.0,7
7000.0,121
7250.0,2
75000.0,6
60000.5,15
6500.5,3
6000.0,1
7650.0,1
6225.0,3
7750.0,12
8250.0,9
6000.0,3
6250.0,9
6500.0,4
6750.0,7
7000.0,4
7250.0,2
7500.0,1
70000.0,1
7900.0,1
7400.0,1
7999.5,1
8000.0,1212
8500.0,35
8999.5,1
9000.0,1171
6000.5,1
6250.0,2
6500.0,14
6750.0,2
7000.0,367
7250.0,9
7500.0,189
7750.0,1
7800.0,1
7999.5,1
70000.0,1
9000.5,1
7000.5,4783
8200.0,1
6499.5,1
8250.0,8
9250.0,4
9750.0,13
6500.0,1
7250.0,7
7500.0,4
7750.0,5
8000.0,4
8500.0,332
9000.0,51
9500.0,306
10000.0,99
10500.0,299
7500.0,29
7750.0,3
8000.0,100
85000.5,13
10500.5,2
8750.0,1
9750.0,7
10000.0,1
10250.0,4
10750.0,3
11249.5,1
11250.0,61
8250.0,4
8500.0,1
11300.0,2
9700.0,1
11499.0,1
9000.0,268
9500.0,34
10000.0,999
10500.0,176
10750.0,2
11000.0,84
11500.0,1711
11500.5,1
11750.0,1
12000.0,514
8000.5,1
8500.0,10
100000.0,1
110000.0,1
9000.5,3528
9675.0,1
9583.0,1
10416.5,1
11666.5,1
12499.5,2
10450.0,1
9250.0,2
9500.0,26
10250.0,2
10750.0,1
11250.0,1
11750.0,2
12750.0,2
11800.0,1
9500.0,9
9750.0,1
10000.0,15
10500.0,64
11000.0,30
11250.0,1
11500.0,24
12000.0,85
12500.0,37
13000.0,2
13500.0,82
9350.0,1
13500.5,2
9750.0,1
14998.5,1
