rang,count
7500.0,17
9000.0,40
10000.0,1
6500.0,54
8000.0,81
9500.0,47
7000.0,335
8500.0,241
10000.0,263
11000.0,2
12500.0,103
9000.0,1613
10500.0,608
18000.0,18
9500.0,668
11000.0,572
12000.0,5
8500.0,697
10000.0,2217
11500.0,4247
12500.0,20
15499.999999999998,2
18000.0,2
14000.0,622
10500.0,203
12000.0,328
15000.0,2
15999.999999999998,3
24000.0,1
19500.0,3
1041.6666666666667,7
12500.0,14601
1000.0,6
15500.0,1
16500.0,12
1750.0,1
18000.0,3
19000.0,3
1250.0,6
15000.0,4645
2500.0,6
30000.0,42
12000.000000000002,21
13000.0,29
14500.000000000002,21
16000.0,2
15500.0,34
12500.0,3
13500.0,316
15000.0,754
16500.0,8
1850.0,1
19000.0,6
1333.3333333333333,2
16000.0,1006
28500.0,5
31000.0,33
14000.0,36
15500.0,205
17000.0,5
19500.0,74
21500.0,9
14500.0,10
16000.0,51
20000.0,6
23000.0,1
27000.0,1
16500.0,118
18000.0,13
19500.0,18
2000.0,9
20500.0,12
22000.0,9
1458.3333333333333,1
17500.0,8787
23500.0,2
30000.0,43
2750.0,2
32500.0,19
45000.0,1
17000.0,7
18500.0,9
20000.0,6
21000.0,5
24000.000000000004,14
23000.0,47
17500.0,1
19000.0,6
21500.0,1
24500.0,2
19500.0,1
21000.0,28
2150.0,8
22000.0,29
23500.0,1
19000.0,26
25000.0,6
30500.0,8
21500.0,1
22500.0,1
1950.0,2
25500.0,1
24500.0,3
39000.0,1
10416.666666666666,636
11666.666666666666,19
140000.0,1
14583.333333333334,40
16625.0,1
25000.0,7
30000.0,6
24000.0,1
11250.0,2
17083.333333333332,1
19166.666666666668,2
3450.0,1
11250.0,16
15000.0,6
240000.0,1
21666.666666666668,1
12916.666666666666,7
13750.0,7
15833.333333333334,3
12916.666666666666,1
14583.333333333334,1
4200.0,1
13750.0,14
15416.666666666666,3
27083.333333333332,9
17500000.0,4
4500.0,51
15000.0,3
16250.0,1
17083.333333333332,4
18333.333333333332,1
19166.666666666668,2
20000.0,1
21250.0,4
17083.333333333332,1
23750.0,2
15833.333333333334,3
17916.666666666668,29
5400.0,7
20416.666666666668,3
23750.0,1
60000.0,4
21500.0,5
2250.0,6
23000.0,11
24000.0,27
27000.0,2
29500.0,2
2083.3333333333335,6
25000.0,1423
32500.0,15
3750.0,2
35000.0,71
50000.0,1
24500.0,3
25500.0,1
27000.0,6
28500.0,8
32500.0,1
3350.0,1
25999.999999999996,1
27500.0,3
29000.0,5
26500.0,10
3400.0,1
29500.0,2
36000.0,4
32000.0,1
62500.0,1
27000.0,1
30000.0,396
34000.0,2
3500.0,7
36500.0,1
3250.0,24
3125.0,1
37500.0,194
45000.0,1
4250.0,3
30500.0,2
32000.0,1
3550.0,2
31000.0,8
32500.0,1
3600.0,1
33500.0,1
4250.0,1
3850.0,1
30500.0,8
31500.0,3
33000.0,2
35500.0,1
3650.0,22
4050.0,1
4199.999999999999,5
4300.0,1
18750.0,16
225000.0,1
24583.333333333332,1
27500.0,1
29166.666666666668,34
41666.666666666664,7
599500.0,2
26250.0,1
25833.333333333332,1
21083.333333333332,1
6600.0,1
22500.0,10
25625.0,1
27500.0,1
31250.0,24
7500.0,3
7800.0,6
30000.0,2
25000.0,1
0.0,17
3400.0,1
34500.0,6
37500.0,28
3950.0,2
2916.6666666666665,6
35000.0,668
4100.0,21
4250.0,47
4350.0,1
4000.0,382
3750.0,1
45000.0,63
5450.0,1
5500.0,126
3400.0000000000005,1
3600.0,3
3900.0,2
4150.0,1
3750.0,11
45000.0,10
4700.0,4
42500.0,35
4750.0,94
5500.0,4
52500.0,9
6250.0,4
4800.000000000001,1
4900.0,1
54166.666666666664,3
650000.0,1
28750.0,2
33333.333333333336,67
400000.0,4
35416.666666666664,2
9000.0,7
31666.666666666668,2
35416.666666666664,6
40833.333333333336,5
6666.666666666667,3
42500.0,3
4450.0,2
4750.0,19
5000.0,1334
5800.0,1
5950.0,6
4583.333333333333,2
55000.0,11
5350.0,1
6600.0,1
5200.0,3
5500.0,106
5650.0,2
5250.0,3815
6750.0,50
5800.0,1
5400.0,1
37500.0,78
39583.333333333336,4
12000.0,2
6250.0,3
75000.0,3
8333.333333333334,4
5250.0,3
6450.0,5
6000.0,381
5416.666666666667,7
65000.0,8
7250.0,1
7400.0,2
7000.0,187
7000.0,8
7250.0,6
6900.0,1
1500.0,2
7083.333333333333,1
8333.333333333334,2
10833.333333333334,3
15000.0,1
6950.0,4
7250.0,5
7750.0,1
7000.0,1
7500.0,4
7750.0,17
7700.0,1
7800.000000000001,1
66666.66666666667,7
7916.666666666667,7
9166.666666666666,9
7750.0,6
7500.0,57
8250.0,1
6666.666666666667,1
80000.0,1
7500.0,2
8250.0,2
21000.0,3
8750.0,5
10000.0,15
10833.333333333334,3
11666.666666666666,20
140000.0,1
13750.0,3
8250.0,2
8500.0,32
9000.0,1
2400.0,6
2490.0,1
9583.333333333334,1
99000.0,1
2700.0,3
2850.0,1
0.0,2123
8500.0,1
7500.0,1
9000.0,4
10000.0,1
8000.0,14
9500.0,11
10500.0,3
7500.0,1453
15000.0,106
8500.0,63
10000.0,26
12500.0,4
15500.0,41
13000.0,118
10499.999999999998,356
12999.999999999998,8
14500.000000000002,2
16000.0,13
18500.0,5
11000.0,227
13500.0,10
9000.0,6472
15000.0,1
16500.0,75
24000.0,24
11500.0,72
13000.0,21
14000.0,3
15500.0,2
17000.0,10
14500.0,55
11000.0,210
12000.0,103
13500.0,107
14500.0,31
10000.0,3
16000.0,17
1458.3333333333333,1
17500.0,452
2250.0,2
2000.0,3
25000.0,58
3000.0,4
11500.0,2
1200.0000000000002,2
12500.0,2
14000.0,12
18000.0,5
20500.0,1
33000.0,2
12000.0,1
1250.0,2
12999.999999999998,23
14500.0,97
17500.0,23
18500.0,231
20000.0,3
22500.0,2
27000.0,15
30500.000000000004,1
26000.0,28
15000.0,41
1750.0,1
18000.0,27
19000.0,146
20500.0,1
16500.0,210
15499.999999999998,12
18500.0,6
19500.0,39
20999.999999999996,27
22000.0,1
16000.0,15
1850.0,3
19000.0,54
1666.6666666666667,5
20000.0,3429
21500.0,56
2200.0,1
2500.0,2
2250.0,18
27500.0,74
37500.0,8
