rang,count
1250.0,113
1666.6666666666667,3
2083.3333333333335,36
8750.0,100
9166.666666666666,2815
9583.333333333334,372
10000.0,2132
10833.333333333334,1225
11250.0,297
11666.666666666666,6735
12083.333333333334,895
12500.0,578
12916.666666666666,365
13333.333333333334,73
14166.666666666666,538
15000.0,75
15833.333333333334,6
16250.0,35
106250.0,237
9583.333333333334,160
10000.0,66
10416.666666666666,241
10833.333333333334,22
11250.0,163
11666.666666666666,297
12083.333333333334,310
12500.0,43
12916.666666666666,78
13333.333333333334,513
13750.0,643
14166.666666666666,2
16250.0,100
10000.0,1
10416.666666666666,6
10833.333333333334,567
11250.0,6
11666.666666666666,445
12083.333333333334,144
12500.0,10564
12916.666666666666,696
13333.333333333334,258
13750.0,5
14166.666666666666,2020
14583.333333333334,184
15000.0,12545
15416.666666666666,119
15833.333333333334,7
17083.333333333332,64
17500.0,384
19166.666666666668,42
20000.0,770
115000.0,11
12083.333333333334,50
12500.0,1
12916.666666666666,152
13333.333333333334,89
13750.0,1656
14166.666666666666,290
14583.333333333334,165
15000.0,238
15416.666666666666,97
15833.333333333334,60
16250.0,2042
17500.0,5
17916.666666666668,7
18333.333333333332,21
19166.666666666668,195
20416.666666666668,36
21666.666666666668,14
13333.333333333334,365
13750.0,523
14166.666666666666,167
14583.333333333334,541
15000.0,2340
15833.333333333334,1688
16250.0,385
16666.666666666668,460
17083.333333333332,10
17500.0,1183
17916.666666666668,1260
18333.333333333332,410
18750.0,2
20416.666666666668,19
20833.333333333332,163
23333.333333333332,33
13750.0,4
14583.333333333334,2
15000.0,6
15833.333333333334,40
16250.0,90
18750.0,314
14166.666666666666,154
14583.333333333334,125
15000.0,271
15416.666666666666,74
15833.333333333334,603
16250.0,568
16666.666666666668,662
17083.333333333332,107
17500.0,475
18333.333333333332,12
18750.0,57
19166.666666666668,1002
19583.333333333332,441
20000.0,36
20833.333333333332,61
26666.666666666668,230
15000.0,18
16250.0,125
16666.666666666668,140
17083.333333333332,393
17500.0,154
17916.666666666668,184
18333.333333333332,79
18750.0,786
20000.0,100
20833.333333333332,97
21250.0,107
21666.666666666668,18
16666.666666666668,409
17083.333333333332,59
17500.0,6656
17916.666666666668,226
18333.333333333332,267
18750.0,67
19166.666666666668,120
19583.333333333332,164
20000.0,10206
20416.666666666668,6
21666.666666666668,284
22083.333333333332,7
22500.0,7007
23333.333333333332,36
24166.666666666668,2
25000.0,163
27500.0,204
28333.333333333332,58
30000.0,2
17083.333333333332,202
17916.666666666668,10
18750.0,86
20000.0,55
20416.666666666668,136
21250.0,100
22916.666666666668,238
23750.0,131
2500.0,20
2916.6666666666665,88
16666.666666666668,4
17083.333333333332,16
17500.0,86
17916.666666666668,115
19166.666666666668,1402
20000.0,100
20416.666666666668,188
20833.333333333332,48
21250.0,49
22083.333333333332,1665
22500.0,11
23333.333333333332,43
23750.0,25
24583.333333333332,1448
25000.0,293
25416.666666666668,23
25833.333333333332,7
27500.0,2
30000.0,57
19583.333333333332,100
20000.0,94
20416.666666666668,243
22500.0,41
22916.666666666668,130
23333.333333333332,1271
25000.0,100
26250.0,1347
27500.0,51
29166.666666666668,112
19166.666666666668,100
19583.333333333332,1
20000.0,145
20833.333333333332,73
21250.0,200
21666.666666666668,836
22083.333333333332,200
23333.333333333332,74
23750.0,10
24166.666666666668,533
25416.666666666668,34
25833.333333333332,52
26666.666666666668,596
27083.333333333332,430
20416.666666666668,18
21666.666666666668,139
22083.333333333332,58
23333.333333333332,109
24166.666666666668,100
24583.333333333332,3
25416.666666666668,163
25833.333333333332,72
28333.333333333332,183
28750.0,100
29583.333333333332,67
37916.666666666664,22
22083.333333333332,159
22500.0,1618
22916.666666666668,2
23333.333333333332,3
24166.666666666668,64
25000.0,3027
26666.666666666668,541
27083.333333333332,24
27500.0,1305
30000.0,3733
30416.666666666668,36
32500.0,95
35000.0,338
25000.0,78
26666.666666666668,34
27916.666666666668,86
23333.333333333332,5
24583.333333333332,194
25833.333333333332,83
27083.333333333332,700
27500.0,100
28333.333333333332,142
30000.0,703
32083.333333333332,100
32500.0,479
37916.666666666664,11
27083.333333333332,4
33750.0,25
26250.0,89
27916.666666666668,52
29166.666666666668,803
29583.333333333332,22
32083.333333333332,490
35000.0,817
40833.333333333336,51
28333.333333333332,25
30833.333333333332,100
27500.0,483
28333.333333333332,7
30000.0,1176
31250.0,231
32500.0,707
33333.333333333336,28
34583.333333333336,480
35000.0,430
37500.0,2004
40000.0,100
40833.333333333336,200
30416.666666666668,25
31666.666666666668,100
38750.0,59
33333.333333333336,124
40416.666666666664,28
30000.0,63
32916.666666666664,201
35416.666666666664,10
38333.333333333336,119
40833.333333333336,94
31666.666666666668,106
36666.666666666664,100
32083.333333333332,29
33333.333333333336,6
35000.0,16
37916.666666666664,228
43750.0,211
32500.0,100
35000.0,330
37500.0,390
40000.0,482
45000.0,558
34583.333333333336,112
37916.666666666664,18
40833.333333333336,27
47083.333333333336,232
36666.666666666664,100
37916.666666666664,36
40833.333333333336,143
43333.333333333336,217
48750.0,260
5833.333333333333,16
3750.0,6
4166.666666666667,153
4583.333333333333,110
5000.0,27
40000.0,100
41250.0,100
50000.0,43
40833.333333333336,12
42500.0,140
46666.666666666664,136
47500.0,36
52500.0,189
53333.333333333336,159
43750.0,111
50000.0,149
56250.0,117
42500.0,57
43333.333333333336,42
45000.0,14
50000.0,58
55000.0,397
46666.666666666664,100
6250.0,331
6666.666666666667,91
7500.0,5
7916.666666666667,19
4583.333333333333,115
5000.0,622
5416.666666666667,126
5833.333333333333,16
45833.333333333336,35
50416.666666666664,18
54166.666666666664,100
59583.333333333336,200
50416.666666666664,100
52500.0,67
64166.666666666664,17
6666.666666666667,539
7083.333333333333,220
7500.0,630
7916.666666666667,21
8333.333333333334,58
9583.333333333334,125
10000.0,431
5416.666666666667,204
5833.333333333333,261
68750.0,300
65000.0,245
7083.333333333333,1251
7500.0,466
7916.666666666667,1840
8333.333333333334,139
8750.0,1488
9583.333333333334,80
10000.0,2
10416.666666666666,439
10833.333333333334,4
12083.333333333334,191
6250.0,5
6666.666666666667,3
75833.33333333333,26
75000.0,22
7500.0,401
7916.666666666667,425
8333.333333333334,643
8750.0,455
9166.666666666666,543
10000.0,486
10416.666666666666,624
10833.333333333334,540
11250.0,25
12083.333333333334,6
12500.0,10
13333.333333333334,10
13750.0,5
73333.33333333333,4
87916.66666666667,12
85000.0,5
7916.666666666667,17
8750.0,166
9166.666666666666,84
10416.666666666666,310
10833.333333333334,18
11250.0,73
12083.333333333334,9
12500.0,5
90000.0,36
