city,lng,lat
北京,116.394495,39.934191
上海,121.462143,31.255935
深圳,114.065127,22.552995
杭州,120.220684,30.267307
南京,118.821969,32.080073
成都,104.089579,30.673467
重庆,106.561887,29.558692
天津,117.225043,39.126592
广州,113.284652,23.154211
武汉,114.396099,30.617613
西安,108.953939,34.35323
大连,121.617604,38.921423
长春,125.382348,43.906189
沈阳,123.450812,41.814103
济南,117.007391,36.688742
青岛,120.389458,36.096728
苏州,120.644154,31.31171
无锡,120.318007,31.513834
宁波,121.613624,29.871797
郑州,113.654988,34.770284
长沙,113.001237,28.227507
福州,119.313818,26.076016
厦门,118.105634,24.491985
哈尔滨,126.659469,45.773228
石家庄,114.504856,38.057632
合肥,117.256438,31.835659
