rang,count
1000.5,2
1250.0,2
1500.0,209
10500.0,1
10000.0,1
10500.0,4
11000.0,113
11500.0,56
12000.0,35
12500.0,889
13000.0,151
13500.0,54
14000.0,423
14500.0,12
14999.5,8
15000.0,2325
110000.0,1
125000.0,3
125000.5,54
12500.5,6239
15000.5,2
15001.0,2
13000.0,61
15750.0,5
12250.0,1
12500.0,1
13000.0,15
13500.0,7
14000.0,6
14500.0,15
15000.0,2
15500.0,14
16500.0,10
130000.0,1
13125.0,2
14750.0,1
1350.0,2
12000.0,1
12500.0,1
13000.0,12
13500.0,149
14000.0,93
14500.0,37
14750.0,1
15000.0,385
15500.0,2
15999.5,1
16000.0,385
16500.0,6
17000.0,27
17500.0,10
18000.0,244
18000.5,1
16250.0,5
16750.0,1
18750.0,11
16499.0,1
14000.0,14
14500.0,18
14750.0,1
15000.0,16
15500.0,83
16000.0,1
16500.0,83
17000.0,3
17500.0,7
18000.0,7
19000.0,87
19500.0,34
15083.0,1
1950.0,1
2100.0,1
15000.0,3
15500.0,4
16000.0,18
16500.0,3
17000.0,33
18000.0,14
18500.0,4
19000.0,6
19500.0,12
20000.0,2
21000.0,8
15750.0,1
16175.0,1
14999.5,1
1650.0,1
1750.0,13
2000.0,8
2250.0,31
15000.0,1
15500.0,3
15833.0,1
16000.0,6
16500.0,58
17000.0,1
17499.5,2
17500.0,365
18000.0,4
18500.0,47
19000.0,18
19500.0,8
20000.0,1278
20500.0,9
21000.0,2
21500.0,17
22000.0,3
22499.5,4
22500.0,960
17500.5,2998
20000.5,1
22500.5,2
18000.0,168
18250.0,66
1800.0,1
2050.0,3
17000.0,3
18000.0,10
18250.0,44
18500.0,64
19000.0,20
19500.0,1
20000.0,6
20500.0,23
21000.0,2
22500.0,1
23000.0,17
24000.0,9
20750.0,3
18500.0,5
19500.0,7
20000.0,5
20500.0,1
21000.0,13
23500.0,2
25000.0,3
25500.0,2
1800.5,1
1900.0,2
2000.0,1
2150.0,1
2400.0,2
2700.0,2
19000.0,8
19500.0,3
20000.0,21
20500.0,11
21000.0,11
21500.0,121
22000.0,4
23000.0,17
24000.0,57
26500.0,21
27000.0,19
19583.0,1
2797.5,1
2199.0,1
19500.0,2
20000.0,3
26500.0,1
27000.0,1
2250.0,5
2500.0,58
2750.0,14
3000.0,41
21500.0,4
22000.0,4
22500.0,126
23000.0,3
24000.0,7
25000.0,191
26000.0,4
26500.0,4
27500.0,146
28000.0,1
29000.0,2
29500.0,2
29999.5,1
30000.0,259
25000.5,1296
30000.5,2
3000.5,2231
3150.0,1
2600.0,1
23500.0,2
26000.0,3
27000.0,1
28500.0,5
31000.0,1
32500.0,10
33000.0,1
24500.0,1
25000.0,1
26500.0,1
29000.0,1
34000.0,2
34500.0,1
26249.5,1
27000.0,1
29500.0,1
32000.0,1
33000.0,1
2650.0,2
2750.0,8
3000.0,15
3250.0,16
3500.0,25
3750.0,48
26500.0,1
27500.0,51
28500.0,1
29000.0,2
30000.0,106
32500.0,66
33000.0,1
33500.0,1
35000.0,10
36500.0,1
37500.0,89
28000.0,1
29500.0,1
