	6
1000-1001	15
1000-1100	1
1000-1200	1
1000-1500	8
1000-1600	1
1000-1800	2
1000-2000	1112
1000-20000	1
1000-50000	6
10000-10000	22
10000-10001	2
10000-11000	15
10000-11800	5
10000-12000	676
10000-12500	11
10000-13000	263
10000-13333	4
10000-14000	172
10000-14500	1
10000-14900	1
10000-14999	1
10000-15000	4944
10000-15600	1
10000-16000	737
10000-16500	2
10000-16666	9
10000-17000	233
10000-18000	2201
10000-19000	35
10000-19900	1
10000-19999	38
10000-20000	15988
100000-120000	3
100000-130000	1
100000-150000	16
100001-150000	456
10001-15000	40466
10001-18000	1
10001-20000	37
10001-20001	4
1000元以下	832
1001-1002	2
10500-15300	1
10500-15500	777
10500-21000	10
10800-14400	2
10833-16666	2
10999-19999	8
11000-12000	1
11000-13000	23
11000-13500	1
11000-14000	7
11000-15000	73
11000-16000	59
11000-17000	33
11000-18000	74
11000-19000	8
11000-20000	84
11000-21000	7
11000-22000	66
110000-150000	2
11050-15200	3
1111-1111	1
11500-18000	1
11666-23330	6
1200-1500	8
1200-2000	1
1200-2400	3
12000-12000	3
12000-13000	10
12000-14000	54
12000-15000	741
12000-16000	419
12000-16500	2
12000-17000	203
12000-17500	2
12000-18000	1662
12000-18999	1
12000-19000	13
12000-19999	2
12000-20000	2219
12000-21000	22
12000-21889	2
12000-22000	206
12000-23000	74
12000-24000	1779
12001-24000	3
12500-15000	1
12500-16000	6
12500-16600	1
12500-16666	4
12500-17000	6
12500-20000	28
12500-20833	1
12500-21000	3
12500-25000	138
12687-14552	20
12999-19999	1
1300-2300	1
1300-2500	1
13000-13000	3
13000-14000	3
13000-15000	81
13000-16000	81
13000-16500	1
13000-17000	79
13000-17500	1
13000-18000	328
13000-19000	12
13000-20000	402
13000-21000	15
13000-22000	48
13000-23000	50
13000-24000	4
13000-25000	516
13000-26000	190
13333-15833	2
13500-16666	1
1400-1500	1
1400-2500	1
1400-2800	3
14000-15000	4
14000-16000	19
14000-17000	19
14000-18000	78
14000-19000	9
14000-20000	154
14000-21000	6
14000-22000	44
14000-23000	22
14000-24000	25
14000-25000	61
14000-26000	14
14000-27000	1
14000-28000	90
14500-17000	2
14500-17850	1
14500-28500	1
1499-1500	2
14999-15000	7
14999-29998	4
1500-1500	1
1500-1800	4
1500-2000	55
1500-2100	1
1500-2500	54
1500-2700	1
1500-2860	1
1500-3000	141
15000-15000	10
15000-16000	12
15000-16666	1
15000-17000	30
15000-18000	271
15000-19000	9
15000-19999	3
15000-20000	1985
15000-21000	32
15000-22000	223
15000-23000	104
15000-24000	42
15000-24999	1
15000-25000	8297
15000-26000	19
15000-27000	17
15000-28000	119
15000-29000	28
15000-29999	16
15000-30000	7719
150000-150000	2
15001-20000	20100
15001-25000	22
15001-28000	1
15001-30000	12
15500-20500	285
15500-21000	134
15500-23500	1
15500-25000	1
1600-1800	1
1600-2000	6
1600-2500	10
1600-2800	1
16000-17000	4
16000-18000	12
16000-20000	59
16000-20500	44
16000-21000	145
16000-22000	77
16000-23000	2
16000-24000	19
16000-25000	163
16000-26000	10
16000-27000	9
16000-28000	8
16000-29000	5
16000-30000	89
16000-31000	4
16000-32000	89
16200-20600	1
16500-25000	9
16666-25000	1
16666-30000	1
1700-2000	4
1700-2200	1
1700-2500	4
1700-2900	1
1700-3400	1
17000-18000	1
17000-19000	1
17000-20000	12
17000-21000	2
17000-22000	14
17000-23000	11
17000-24000	5
17000-25000	71
17000-27000	1
17000-28000	3
17000-29000	1
17000-30000	13
17000-32000	3
17000-33000	22
17000-34000	19
17500-35000	1
1800-1800	1
1800-1801	1
1800-2000	8
1800-2100	1
1800-2200	2
1800-2500	18
1800-2800	7
1800-3000	7
1800-3500	1
1800-3600	10
18000-20000	46
18000-21000	10
18000-22000	91
18000-23000	51
18000-24000	55
18000-25000	581
18000-26000	20
18000-27000	2
18000-28000	115
18000-30000	391
18000-31000	4
18000-32000	6
18000-33000	3
18000-35000	266
18000-36000	144
18333-20833	1
18500-30000	2
18500-31000	3
1895-3700	4
1899-2499	3
1900-2000	1
1900-2200	1
19000-20000	2
19000-21000	3
19000-23000	1
19000-25000	2
19000-28000	7
19000-34000	1
19000-35000	1
19000-37000	1
19000-38000	1
19999-34999	2
19999-35999	3
2000-10000	1
2000-2000	8
2000-2200	1
2000-2300	2
2000-2400	2
2000-2500	58
2000-2700	1
2000-2800	4
2000-2999	4
2000-3000	326
2000-3300	1
2000-3500	52
2000-4000	464
2000-8000	3
20000-20000	2
20000-21000	2
20000-22000	3
20000-23000	21
20000-24000	13
20000-24999	6
20000-25000	695
20000-26000	13
20000-27000	2
20000-28000	37
20000-29999	1
20000-30000	1326
20000-31000	1
20000-32000	18
20000-33000	13
20000-33333	2
20000-35000	1053
20000-36000	7
20000-38000	14
20000-39000	7
20000-39999	2
20000-40000	2973
20001-30000	9475
20001-40000	3
2001-3500	1
2001-4000	16744
2001-4001	1
2050-4000	1
20800-37500	1
20833-25000	1
2100-2700	1
2100-3600	4
2100-4000	1
2100-4200	2
21000-28000	3
21000-30000	2
21000-33000	1
21000-35000	2
21000-37000	1
21000-42000	1
2200-2200	1
2200-2500	2
2200-2800	2
2200-3000	11
2200-3500	1
2200-4000	4
22000-25000	4
22000-26000	1
22000-28000	3
22000-29000	1
22000-30000	14
22000-32000	3
22000-35000	24
22000-36000	1
22000-40000	4
22000-43000	26
22000-44000	7
2260-2500	2
2300-2800	1
2300-3000	4
2300-3500	1
2300-4000	2
2300-4200	1
2300-4500	4
23000-25000	1
23000-26000	2
23000-27000	1
23000-29000	2
23000-30000	8
23000-32000	2
23000-33000	4
23000-35000	6
23000-38000	1
23000-40000	1
23000-45000	9
23000-46000	1
23333-29166	3
2350-4050	1
2350-4500	1
2400-2500	1
2400-2700	2
2400-2800	1
2400-3000	2
2400-3400	2
2400-3500	8
2400-3800	1
2400-4000	3
2400-4500	3
2400-4800	3
24000-29000	2
24000-30000	4
24000-32000	5
24000-35000	1
24000-36000	2
24000-40000	6
24000-42000	3
24000-48000	6
2450-4000	1
24999-39999	2
2500-2500	10
2500-2800	13
2500-3000	89
2500-3100	2
2500-3200	2
2500-3300	2
2500-3500	188
2500-3600	1
2500-3700	1
2500-3800	4
2500-3999	3
2500-4000	321
2500-4200	1
2500-4500	177
2500-4999	3
2500-5000	632
25000-28000	1
25000-30000	256
25000-32000	5
25000-33000	16
25000-33333	2
25000-34000	4
25000-35000	678
25000-38000	7
25000-40000	518
25000-41000	4
25000-42000	4
25000-45000	134
25000-46000	2
25000-48000	2
25000-49999	1
25000-50000	826
25000元以上	2
2501-5000	1
2520-3150	1
2550-4100	1
2550-4150	1
2600-2800	5
2600-3000	1
2600-3100	1
2600-3200	2
2600-3300	2
2600-3400	1
2600-3500	5
2600-3600	1
2600-4000	9
2600-4500	7
2600-5000	14
2600-5199	2
2600-5200	1
26000-30000	3
26000-33000	3
26000-34000	1
26000-35000	2
26000-40000	3
26000-45000	2
26000-50000	5
26000-52000	3
2640-5280	1
2650-4500	1
2700-3000	1
2700-3200	1
2700-3300	1
2700-3500	4
2700-3700	2
2700-4000	4
2700-4500	1
2700-4700	2
2700-5000	1
2700-5400	5
27000-35000	3
2750-5060	1
2800-2900	2
2800-3000	4
2800-3200	10
2800-3400	1
2800-3500	68
2800-3600	5
2800-3800	2
2800-3999	1
2800-4000	141
2800-4200	1
2800-4499	1
2800-4500	58
2800-4600	1
2800-4800	12
2800-5000	46
2800-5100	1
2800-5400	1
2800-5500	19
2800-5600	15
28000-30000	3
28000-32000	1
28000-33000	3
28000-35000	11
28000-36000	6
28000-38000	7
28000-40000	13
28000-45000	11
28000-48000	5
28000-50000	4
28000-54000	1
28000-55000	5
2850-3500	1
2850-5000	1
2900-3200	1
2900-3500	2
2900-4000	1
2900-5000	1
29000-37000	2
29000-41000	4
29000-42000	4
29000-58000	4
29166-58330	5
3000-3000	18
3000-3001	3
3000-3100	1
3000-3200	7
3000-3300	1
3000-3500	228
3000-3600	11
3000-3700	3
3000-3800	9
3000-4000	1736
3000-4100	1
3000-4200	5
3000-4300	2
3000-4400	4
3000-4499	13
3000-4500	915
3000-4599	1
3000-4600	3
3000-4800	12
3000-4900	1
3000-4999	81
3000-5000	8077
3000-5001	1
3000-5100	3
3000-5200	17
3000-5300	15
3000-5400	7
3000-5500	188
3000-5600	4
3000-5700	6
3000-5800	44
3000-5820	1
3000-5850	1
3000-5900	1
3000-5999	52
3000-6000	4896
3000-8000	1
30000-30001	2
30000-33000	1
30000-35000	51
30000-39000	1
30000-40000	271
30000-45000	70
30000-46000	3
30000-47000	1
30000-50000	379
30000-55000	14
30000-60000	410
30001-50000	3068
30001-60000	3
3001-4500	3
3001-5000	33
3001-5001	8
3001-6000	4
3001-6001	1
3004-5000	1
3004-5004	1
3100-3300	1
3100-4500	1
3100-4600	1
3100-5000	5
3100-6000	2
3100-6200	1
31000-55000	1
3125-5000	1
3150-5550	1
3150-5570	1
3170-5000	2
3200-3400	1
3200-3500	5
3200-3800	4
3200-4000	31
3200-4200	3
3200-4500	17
3200-4600	1
3200-4800	1
3200-4999	44
3200-5000	36
3200-5200	2
3200-5400	2
3200-5500	27
3200-5600	1
3200-5800	1
3200-6000	18
3200-6200	1
3200-6400	3
32000-36000	3
32000-37500	3
32000-60000	4
3250-3600	1
3250-4750	1
3250-5720	1
3250-5850	1
3250-6500	2
3264-3400	3
3300-3500	1
3300-3800	1
3300-4000	5
3300-4200	1
3300-4300	1
3300-4400	1
3300-4500	4
3300-5000	6
3300-5500	3
3300-6000	8
3300-6500	3
3300-6600	5
33000-45000	1
33000-47000	4
33000-50000	5
33000-66000	8
3350-3750	1
3350-4500	1
3350-5000	1
3400-3800	1
3400-4300	1
3400-4500	3
3400-5000	5
3400-6000	1
3400-6500	1
3499-4999	1
3499-5000	3
3499-5001	1
3500-3500	9
3500-3700	1
3500-3800	8
3500-4000	331
3500-4050	1
3500-4200	10
3500-4300	2
3500-4500	638
3500-4700	1
3500-4800	10
3500-4999	106
3500-5000	1538
3500-5100	1
3500-5200	4
3500-5300	3
3500-5400	1
3500-5500	580
3500-5800	5
3500-5999	13
3500-6000	1050
3500-6300	4
3500-6500	146
3500-6550	1
3500-6600	1
3500-6700	1
3500-6800	1
3500-6850	1
3500-6999	1
3500-7000	886
35000-40000	15
35000-45000	19
35000-48000	4
35000-50000	43
35000-55000	60
35000-57000	2
35000-60000	43
35000-65000	20
35000-70000	47
3501-7000	1
3550-5550	1
3550-5570	3
3550-5650	1
3550-6500	1
3550-6550	2
3550-6850	2
3570-6570	1
3590-6000	1
3599-7099	1
3600-4000	5
3600-4200	1
3600-4500	7
3600-4600	2
3600-4800	2
3600-5000	10
3600-5500	1
3600-5600	1
3600-5800	7
3600-5999	1
3600-6000	10
3600-6500	2
3600-6800	9
3600-7000	6
3600-7200	6
36000-40000	3
36000-70000	2
3700-3900	1
3700-4000	1
3700-4500	8
3700-5000	1
3700-5350	1
3700-5900	1
3700-6000	2
3700-6300	2
3700-6500	1
3700-6681	1
3700-7000	1
3700-7350	1
3750-4350	1
3750-5550	1
3750-6350	1
3750-7000	1
3750-7500	2
3800-4000	3
3800-4200	30
3800-4300	2
3800-4500	30
3800-4600	1
3800-4999	2
3800-5000	23
3800-5200	2
3800-5400	1
3800-5500	13
3800-5600	4
3800-5800	7
3800-6000	23
3800-6500	3
3800-6600	1
3800-6800	3
3800-7000	21
3800-7200	3
3800-7500	19
3800-7600	11
38000-75000	3
3850-5850	1
3850-7550	1
3900-4300	1
3900-4500	1
3900-5000	7
3900-5200	1
3900-5500	1
3900-5700	1
3900-6000	1
3900-6400	2
3900-6800	1
3999-4000	1
3999-4500	1
3999-4999	1
3999-5001	5
3999-6000	2
4000-15000	4
4000-20000	3
4000-4000	25
4000-4001	9
4000-4200	1
4000-4300	2
4000-4500	106
4000-4600	2
4000-4700	2
4000-4800	1
4000-4900	1
4000-4999	1
4000-5000	929
4000-5200	2
4000-5500	111
4000-5600	3
4000-5800	1
4000-5999	6
4000-6000	3879
4000-6001	3
4000-6500	127
4000-6800	1
4000-6850	2
4000-6900	1
4000-6999	7
4000-7000	1903
4000-7200	2
4000-7500	64
4000-7888	1
4000-7999	5
4000-8000	10931
40000-42000	4
40000-45000	2
40000-50000	47
40000-55000	3
40000-60000	84
40000-65000	7
40000-70000	88
40000-80000	75
4001-5000	4
4001-5500	3
4001-5999	3
4001-6000	65391
4001-6001	17
4001-6500	5
4001-6999	1
4001-7000	3
4001-7999	3
4001-8000	14
4001-8001	3
4001-8002	1
4002-8000	1
4003-8000	3
4009-7009	1
4050-4500	2
4100-4800	3
4100-5300	2
4100-7000	1
4100-8000	3
41000-60000	2
4150-7950	1
4200-5000	6
4200-5200	1
4200-5400	1
4200-5500	3
4200-5999	3
4200-6000	4
4200-6400	1
4200-6500	12
4200-7000	2
4200-7100	1
4200-7200	2
4200-7500	2
4200-7600	2
4200-7800	1
4200-8000	14
4200-8400	7
4250-6250	2
4250-6550	3
4250-7500	1
4250-8250	1
4280-8360	1
4300-4500	2
4300-5100	1
4300-5500	3
4300-5800	1
4300-6000	2
4300-6500	1
4300-7000	5
4300-8000	3
4300-8001	1
4300-8100	1
4300-8200	1
4300-8500	2
4300-8600	2
43000-66000	2
4350-7850	1
4400-4700	1
4400-5000	1
4400-5400	1
4400-5600	1
4400-6000	1
4400-6500	3
4400-6800	1
4400-7200	1
4400-8000	2
4400-8800	17
44000-55000	1
4480-5600	1
4500-4500	1
4500-5000	64
4500-5200	1
4500-5300	1
4500-5500	151
4500-5800	9
